Wallet Address,Credit Score,Total Deposited,Total Borrowed,Total Repaid,Liquidation Events,Repay Ratio,Deposit/Borrow Ratio,Active Days,Risk Category
0x0012668072f7e0579caf7e047713d8b6d476d0db,1000,"3,000,000,000,000,000,000.00",0.00,0.00,0,0.00,299999999999999997114318848.00,2,Low Risk
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,898,"11,486,621,116,412,448,473,088.00","4,923,462,755,854,999,093,248.00","933,385,959,030,950,985,728.00",2,0.19,2.33,62,Low Risk
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,799,0.00,0.00,0.00,0,0.00,0.00,0,Low Risk
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,1000,"92,600,000,000,000,000.00",0.00,0.00,0,0.00,9259999999999999941279744.00,0,Low Risk
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,1000,"2,455,392.00",0.00,0.00,0,0.00,245539200000000.00,6,Low Risk
0x0014dfac19477a83d7354e6eaac28642c1959398,1000,"169,933,609,660,123,054,080.00","18,156,827,224.00","18,162,323,503.00",0,1.00,9359212794.38,30,Low Risk
0x001589fe1923c2118f34e4277f2ef650fcbf0161,999,"4,140,691,562,270,579,752,960.00","943,379,631,812,690,575,360.00",0.00,0,0.00,4.39,132,Low Risk
0x00159370cbe576b765a7fb2e78582e0cb563d445,999,"1,437,821,754,944,002,981,888.00","475,533,676,000,591,544,320.00",0.00,0,0.00,3.02,20,Low Risk
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,1000,"14,127,252.00",0.00,0.00,0,0.00,1412725200000000.00,0,Low Risk
0x0016469a65facda9e86fd0ae0e9661128843c224,1000,"22,100,000,000,000,000.00","5,000,000,000,000,000.00",0.00,0,0.00,4.42,0,Low Risk
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,1000,"96,300,000,000,000,000.00",0.00,0.00,0,0.00,9629999999999999886753792.00,0,Low Risk
0x00183135585d70a523d61b2e43037a7138b36906,897,"1,530,492,210,114,749,267,968.00","1,420,027,252,822,415,769,600.00","640,740,282,471,297,664.00",0,0.00,1.08,57,Low Risk
0x00184e8aa1e95f491f2d9601e12b540092160ded,996,"102,350,000,000,000,000,000.00","61,000,000,000,000,000,000.00","61,000,000,000,000,000,000.00",0,1.00,1.68,0,Low Risk
0x0018583d7654803d2c59467e10dec5f70bbe1851,1000,"260,000,000,000,460.00",0.00,0.00,0,0.00,26000000000045998931968.00,22,Low Risk
0x001875a076b3cfe1c9535d76b0345c16e3d61118,1000,"2,200,000.00",0.00,0.00,0,0.00,220000000000000.00,5,Low Risk
0x0018d044b946ede86b43bb3b964a45772a5abeb9,1000,"14,628,276,542,630,129,664.00","1,121,816.00","1,121,820.00",0,1.00,13039818065199.64,53,Low Risk
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,998,0.00,"79,209,353.00","158,517,071.00",0,2.00,0.00,14,Low Risk
0x0019bd9f6142943f3a03a8a62d0001a95213f555,1000,"100,000,000,000,000,000.00",0.00,0.00,0,0.00,9999999999999998758486016.00,0,Low Risk
0x001b024b98ee862aa01eea595c4c16a0213d2611,1000,"411,897,655,835,278,656.00","500,000,000.00",0.00,0,0.00,823795311.67,0,Low Risk
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,1000,"39,147,130,994,874,793,984.00","234,424,601.00","234,555,105.00",0,1.00,166992418150.15,23,Low Risk
0x001bc97d92e1a30b02d4e75be25f06063555d556,1000,"114,845,049,794,137,971,228,672.00","54,452,832,761.00","54,495,849,398.00",0,1.00,2109073926387.02,9,Low Risk
0x001be549fa377710b9e59d57bbdf593ce1e379ca,1000,"6,240,750,099,327,031.00",0.00,0.00,0,0.00,624075009932703096111104.00,20,Low Risk
0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,1000,"2,000,000,000,000,009,728.00",0.00,0.00,0,0.00,200000000000000971602132992.00,9,Low Risk
0x001d2a3192a49e28cac0a7abcaa916648c62b982,1000,"6,461,144,026,105,417.00",0.00,0.00,0,0.00,646114402610541647364096.00,0,Low Risk
0x001d4aa3f14b6e0019e5615e9c8eb50659061220,1000,"1,109,087.00",0.00,0.00,0,0.00,110908700000000.00,0,Low Risk
0x001f96b7e19a54ae45f451b0148336504d03fdcf,1000,"18,485.00",0.00,0.00,0,0.00,1848500000000.00,0,Low Risk
0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,1000,"918,900,412,657,474,863,104.00",0.00,0.00,0,0.00,91890041265747478305017167872.00,68,Low Risk
0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,1000,"23,783.00",0.00,0.00,0,0.00,2378300000000.00,0,Low Risk
0x0020c5222a24e4a96b720c06b803fb8d34adc0af,799,0.00,0.00,0.00,0,0.00,0.00,0,Low Risk
0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,1000,"1,135,240,588,968,597,632.00",0.00,0.00,0,0.00,113524058896859764877164544.00,6,Low Risk
0x00222d56e0509a5e9ab05c588c548290a5e9f876,1000,"4,440,486,156,185,637.00",0.00,0.00,0,0.00,444048615618563721396224.00,0,Low Risk
0x002379916ac42a432f3b53f16782d33267debb4c,1000,"1,500,000,000,000,000,000.00",0.00,0.00,0,0.00,149999999999999998557159424.00,0,Low Risk
0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,1000,"2,200,000.00",0.00,0.00,0,0.00,220000000000000.00,5,Low Risk
0x0023d9ffe7d793895c5da5833d56c737832ead2b,1000,"14,997,724.00",0.00,0.00,0,0.00,1499772400000000.00,0,Low Risk
0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,1000,"4,999,194.00",0.00,0.00,0,0.00,499919400000000.00,0,Low Risk
0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,1000,"12,625,001,510,457,944.00",0.00,0.00,0,0.00,1262500151045794398470144.00,1,Low Risk
0x0024461e7a8ce7157866eaa4c24b702d328250ce,799,0.00,0.00,0.00,0,0.00,0.00,0,Low Risk
0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,1000,"25,000,000,000,000,000.00",0.00,0.00,0,0.00,2499999999999999689621504.00,0,Low Risk
0x00246f7813397868b1beec56e1677efa47816dae,997,"3,037,908,154,495,825,608,704.00","2,356,800,000,000,000,000,000.00","2,359,307,309,858,440,609,792.00",0,1.00,1.29,21,Low Risk
0x0025a856d01a898bd52286d56c52323b13937b65,1000,"100,000,000,000,000,000.00",0.00,0.00,0,0.00,9999999999999998758486016.00,0,Low Risk
0x00261d225db379b3fc74cd0228d6f90582d39035,1000,"34,200,000,000,000,000.00","5,000,000,000,000,000.00",0.00,0,0.00,6.84,0,Low Risk
0x00262ffcfda82b5582d1905ca05b849f196b0419,1000,"101,169,192.00","57,074,003.00","57,090,279.00",0,1.00,1.77,3,Low Risk
0x0026bc865efa2fb74d18c3be5a77c780756e50e6,1000,"450,246,121,481,307.00",0.00,0.00,0,0.00,45024612148130695086080.00,0,Low Risk
0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,1000,"1,851,978.00",0.00,0.00,0,0.00,185197800000000.00,0,Low Risk
0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,1000,"97,000,000,000,000,000.00",0.00,0.00,0,0.00,9700000000000000427819008.00,0,Low Risk
0x002775390698ef16589bb22bba37ae7906ae2f36,955,"81,389,771,485,949,788,160.00","68,201,720,166,501,687,296.00","3,201,720,166,501,698,560.00",0,0.05,1.19,20,Low Risk
0x0027c6cd01364a3c5d29f72269b36dfe85628193,1000,"1,880,888.00",0.00,0.00,0,0.00,188088800000000.00,0,Low Risk
0x0027f7335d610f15b325baa5798414548720fcaa,1000,"200,552,767,521,774,560.00","1,518,992,970.00","1,519,063,995.00",0,1.00,132030082.75,1,Low Risk
0x00283b611db7844cb5677b311afd67c8e3078518,1000,"7,200,645.00",0.00,0.00,0,0.00,720064500000000.00,0,Low Risk
